id,name,latitude,longitude,dpcapacity,landmark
448,Warren Park East,42.00454962,-87.68066615,15,565
449,Clark St & Columbia Ave,42.00445063,-87.6724024,15,566
450,Warren Park West,42.00200726,-87.68972623,15,567
451,Sheridan Rd & Loyola Ave,42.00104378,-87.66119824,15,568
452,Western Ave & Granville Ave,41.99416137,-87.68943828,15,569
453,Clark St & Schreiber Ave,41.99925182,-87.67137734,15,570
454,Broadway & Granville Ave,41.99477969,-87.66028453,15,571
455,Maplewood Ave & Peterson Ave,41.99023603,-87.69336964,15,572
456,2112 W Peterson Ave,41.991178,-87.683593,15,573
457,Clark St & Elmdale Ave,41.99089375,-87.6695834,19,574
458,Broadway & Thorndale Ave,41.98974251,-87.66014062,19,575
459,Lakefront Trail & Bryn Mawr Ave,41.9840367,-87.65231047,19,576
460,Clark St & Bryn Mawr Ave,41.98356935,-87.66912477,15,577
461,Broadway & Ridge Ave,41.98404461,-87.66027383,15,578
462,Ravenswood Ave & Balmoral Ave,41.97977022,-87.67581473,15,579
463,Clark St & Berwyn Ave,41.97799665,-87.6680471,19,580
464,Damen Ave & Foster Ave,41.9756148,-87.67945904,15,581
465,Marine Dr & Ainslie St,41.9716,-87.650154,23,582
466,Ridge Blvd & Touhy Ave,42.01213228,-87.68291264,15,583
467,Western Ave & Lunt Ave,42.0085944,-87.69049224,15,584
468,Budlong Woods Library,41.98366471,-87.69642256,15,585
469,St. Louis Ave & Balmoral Ave,41.98039423,-87.71611496,15,611
470,Kedzie Ave & Foster Ave,41.975672,-87.709261,15,612
471,Francisco Ave & Foster Ave,41.97563273,-87.70141944,15,613
472,Lincoln Ave & Winona St,41.9749113,-87.69250256,15,614
474,Christiana Ave & Lawrence Ave,41.96835449,-87.71183067,15,615
475,Washtenaw Ave & Lawrence Ave,41.96871107,-87.69616957,15,616
476,Kedzie Ave & Leland Ave,41.96668636,-87.70805198,15,617
477,Manor Ave & Leland Ave,41.96631753,-87.70108268,11,618
478,Rockwell St & Eastwood Ave,41.96590014,-87.69363849,15,619
479,Drake Ave & Montrose Ave,41.96115408,-87.71656907,11,620
480,Kedzie Ave & Montrose Ave,41.96198976,-87.70816838,15,621
481,California Ave & Montrose Ave,41.961068,-87.695439,15,622
482,Campbell Ave & Montrose Ave,41.96152593,-87.69116504,15,623
483,Keeler Ave & Irving Park Rd,41.95384975,-87.73237045,19,624
484,Monticello Ave & Irving Park Rd,41.95400484,-87.71912818,15,625
485,Sawyer Ave & Irving Park Rd,41.95358618,-87.7093108,15,626
486,Oakley Ave & Irving Park Rd,41.95434085,-87.68607962,15,627
487,California Ave & Byron St,41.95216219,-87.69805111,19,628
488,Pulaksi Rd & Eddy St,41.94563644,-87.72773681,15,629
489,Drake Ave & Addison St,41.94678185,-87.71642152,23,630
490,Troy St & Elston Ave,41.94524357,-87.7066499,15,631
491,Talman Ave & Addison St,41.94663583,-87.69461476,15,632
492,Leavitt St & Addison St,41.94702904,-87.68336721,15,633
493,Western Ave & Roscoe St,41.94302616,-87.68739454,15,634
494,Kedzie Ave & Bryn Mawr Ave,41.98239708,-87.70892252,15,635
495,Keystone Ave & Montrose Ave,41.96110802,-87.7289701,15,636
496,Avers Ave & Belmont Ave,41.93944839,-87.72355383,19,640
497,Kimball Ave & Belmont Ave,41.93939154,-87.71224084,23,641
498,California Ave & Fletcher St,41.93842879,-87.69800776,19,642
499,Kosciuszko Park,41.93058537,-87.72377736,15,643
500,Central Park Ave & Elbridge Ave,41.93533728,-87.71688929,15,644
501,Richmond St & Diversey Ave,41.93190197,-87.70119513,15,645
502,California Ave & Altgeld St,41.926618,-87.697899,19,646
503,Drake Ave & Fullerton Ave,41.92439882,-87.71544104,15,647
504,Campbell Ave & Fullerton Ave,41.92463247,-87.68930701,15,648
505,Winchester Ave & Elston Ave,41.92409085,-87.67646007,15,649
506,Spaulding Ave & Armitage Ave,41.91718375,-87.71035665,15,650
507,Humboldt Blvd & Armitage Ave,41.91751339,-87.70180896,19,651
508,Central Park Ave & North Ave,41.90965688,-87.71663195,15,652
509,Troy St & North Ave,41.9097693,-87.70528049,15,653
510,Spaulding Ave & Division St,41.90270659,-87.70921957,15,654
511,Albany Ave & Bloomingdale Ave,41.91402671,-87.70512646,15,655
