"id","name","city","latitude","longitude","dpcapacity","online_date"
"531","Central Ave & Lake St","Chicago","41.887664","-87.765469","15","5/27/2016 08:38:16"
"542","Central Ave & Madison St","Chicago","41.880121","-87.763238","15","5/27/2016 09:03:10"
"500","Central Park Ave & Elbridge Ave","Chicago","41.93533728263","-87.7168892935","15","2/10/2015 14:48:20"
"508","Central Park Ave & North Ave","Chicago","41.90965687563","-87.7166319516","15","2/10/2015 14:50:26"
"438","Central Park Ave & Ogden Ave","Chicago","41.85420431327","-87.7154058381","15","2/10/2015 11:49:09"
"533","Central Park Blvd & 5th Ave","Chicago","41.875679","-87.71547","15","5/27/2016 08:40:08"
"474","Christiana Ave & Lawrence Ave","Chicago","41.96835449363","-87.7118306675","15","2/10/2015 14:37:47"
"538","Cicero Ave & Flournoy St","Chicago","41.872131","-87.746619","15","5/27/2016 08:43:48"
"529","Cicero Ave & Lake St","Chicago","41.886841","-87.745261","15","5/27/2016 08:35:11"
"539","Cicero Ave & Quincy St","Chicago","41.877613","-87.745405","15","5/27/2016 08:44:28"
"196","Cityfront Plaza Dr & Pioneer Ct","Chicago","41.890573","-87.622072","19","8/7/2013 16:23:06"
"159","Claremont Ave & Hirsch St","Chicago","41.907781","-87.685854","11","7/19/2013 09:56:47"
"312","Clarendon Ave & Gordon Ter","Chicago","41.957879","-87.649519","15","9/20/2013 09:45:27"
"245","Clarendon Ave & Junior Ter","Chicago","41.961004","-87.649603","23","8/22/2013 11:01:23"
"251","Clarendon Ave & Leland Ave","Chicago","41.967968","-87.650001","15","8/26/2013 11:52:52"
"394","Clark St & 9th St (AMLI)","Chicago","41.870816","-87.631246","15","1/30/2015 15:11:29"
"94","Clark St & Armitage Ave","Chicago","41.918306","-87.636282","31","6/27/2013 12:33:54"
"463","Clark St & Berwyn Ave","Chicago","41.9779966544","-87.6680471047","19","2/10/2015 14:06:16"
"460","Clark St & Bryn Mawr Ave","Chicago","41.983593","-87.669154","15","2/10/2015 14:05:36"
"337","Clark St & Chicago Ave","Chicago","41.896544","-87.630931","19","9/26/2013 15:53:11"
"449","Clark St & Columbia Ave","Chicago","42.00445062934","-87.6724024047","15","2/10/2015 14:02:48"
"50","Clark St & Congress Pkwy","Chicago","41.8759326655","-87.6305845355","27","6/25/2013 11:23:39"
"176","Clark St & Elm St","Chicago ","41.902973","-87.63128","27","7/19/2013 11:08:56"
"457","Clark St & Elmdale Ave","Chicago","41.99089374974","-87.6695833982","19","2/10/2015 14:04:55"
"165","Clark St & Grace St","Chicago","41.95078","-87.659172","19","7/19/2013 10:03:47"
"517","Clark St & Jarvis Ave","Chicago","42.015963","-87.675005","15","5/12/2016 17:38:02"
"38","Clark St & Lake St","Chicago","41.88602082773","-87.6308760584","27","6/25/2013 01:43:12"
"326","Clark St & Leland Ave","Chicago","41.967096","-87.667429","11","9/23/2013 15:02:29"
"141","Clark St & Lincoln Ave","Chicago ","41.915689","-87.6346","23","7/18/2013 22:57:30"
"432","Clark St & Lunt Ave","Chicago","42.009074","-87.67419","19","2/2/2015 11:32:22"
"234","Clark St & Montrose Ave","Chicago","41.961588","-87.666036","19","8/20/2013 14:21:05"
"126","Clark St & North Ave","Chicago ","41.911974","-87.631942","15","7/18/2013 17:54:33"
"51","Clark St & Randolph St","Chicago","41.884576228","-87.63188991","31","6/25/2013 11:24:53"
"301","Clark St & Schiller St","Chicago","41.907993","-87.631501","19","9/18/2013 16:18:56"
"453","Clark St & Schreiber Ave","Chicago","41.99925182186","-87.6713773393","15","2/10/2015 14:03:52"
"353","Clark St & Touhy Ave","Chicago","42.01256011541","-87.6743671152","15","12/31/2013 14:08:54"
"156","Clark St & Wellington Ave","Chicago ","41.9364968219","-87.6475386582","15","7/19/2013 09:35:56"
"325","Clark St & Winnemac Ave","Chicago","41.973385","-87.668365","19","9/23/2013 09:59:55"
"340","Clark St & Wrightwood Ave","Chicago","41.929546","-87.643118","15","10/1/2013 11:35:48"
"223","Clifton Ave & Armitage Ave","Chicago","41.918216","-87.656936","15","8/16/2013 16:07:03"
"253","Clifton Ave & Lawrence Ave","Chicago","41.968873","-87.658857","15","8/31/2013 08:58:02"
"170","Clinton St & 18th St","Chicago","41.85795","-87.640826","15","7/19/2013 11:04:04"
"66","Clinton St & Lake St","Chicago","41.885637","-87.641823","23","6/25/2013 12:21:32"
"77","Clinton St & Madison St","Chicago","41.882242","-87.641066","31","6/26/2013 15:27:12"
"103","Clinton St & Polk St (*)","Chicago","41.87146651779","-87.6409491327","16","7/18/2013 15:51:56"
"57","Clinton St & Roosevelt Rd","Chicago","41.8671177825","-87.6410879593","15","6/25/2013 11:54:47"
"68","Clinton St & Tilden St","Chicago","41.875885","-87.640795","23","6/25/2013 12:52:06"
"91","Clinton St & Washington Blvd","Chicago","41.88338","-87.64117","31","6/26/2013 23:39:44"
"138","Clybourn Ave & Division St","Chicago ","41.904613","-87.640552","15","7/18/2013 22:55:07"
"195","Columbus Dr & Randolph St","Chicago","41.884728","-87.619521","47","8/7/2013 14:11:34"
"581","Commercial Ave & 83rd St","Chicago","41.744607","-87.551201","15","5/27/2016 11:33:35"
"518","Conservatory Dr & Lake St","Chicago","41.885502","-87.716866","15","5/24/2016 15:32:31"
"417","Cornell Ave & Hyde Park Blvd","Chicago","41.802406","-87.586924","19","1/30/2015 17:42:21"
"271","Cottage Grove Ave & 43rd St","Chicago","41.816499","-87.606582","11","9/9/2013 16:33:46"
"336","Cottage Grove Ave & 47th St","Chicago","41.809855","-87.606755","15","9/26/2013 11:04:50"
"351","Cottage Grove Ave & 51st St","Chicago","41.803038","-87.606615","15","10/10/2013 16:56:42"
"427","Cottage Grove Ave & 63rd St","Chicago","41.78059901484","-87.606112388","19","1/30/2015 17:45:29"
"429","Cottage Grove Ave & 67th St","Chicago","41.77372095205","-87.60563486","11","1/30/2015 17:46:08"
"400","Cottage Grove Ave & 71st St","Chicago","41.76571903697","-87.604959713","11","1/30/2015 17:32:08"
"575","Cottage Grove Ave & 78th St","Chicago","41.753174","-87.605026","11","5/27/2016 10:57:43"
"585","Cottage Grove Ave & 83rd St","Chicago","41.744053","-87.604786","11","5/27/2016 11:36:16"
"265","Cottage Grove Ave & Oakwood Blvd","Chicago","41.822985","-87.6071","15","9/3/2013 17:01:28"
"81","Daley Center Plaza","Chicago","41.884241","-87.629634","39","6/26/2013 19:02:13"
"554","Damen Ave & 51st St","Chicago","41.800908","-87.674684","11","5/27/2016 10:15:12"
"561","Damen Ave & 59th St","Chicago","41.78602","-87.674167","11","5/27/2016 10:50:53"
"183","Damen Ave & Augusta Blvd","Chicago","41.899113","-87.677212","23","7/20/2013 17:09:09"
